"","date","future expiration","adjusted close","expiration","strike","call/put","ask","bid","settlement price","ttm"
"4293",2015-01-12,2015-01-20,46,2015-01-14,46,"C","0.79","0.64",0.88,2
"4294",2015-01-13,2015-01-20,46,2015-01-14,46,"P","1.7","0.45",0.72,1
"4295",2015-01-13,2015-01-20,46,2015-01-14,46,"C","1.65","0.6",0.61,1
"4296",2015-01-14,2015-01-20,48.5,2015-01-14,48.5,"P","0.19","0",0.02,0
"4297",2015-01-16,2015-02-20,49,2015-01-23,49,"C","2.55","0",1.63,7
"4298",2015-01-22,2015-02-20,46.5,2015-01-30,46.5,"C","1.78","0",1.6,8
"4299",2015-01-22,2015-02-20,46.5,2015-01-23,46.5,"C","0.95","0",0.72,1
"4300",2015-01-23,2015-02-20,45.5,2015-01-23,45.5,"C","0.41","0",0.09,0
"4301",2015-01-26,2015-02-20,45,2015-02-06,45,"C","2.46","0",2.04,11
"4302",2015-01-26,2015-02-20,45,2015-01-30,45,"C","1.44","0",1.37,4
"4303",2015-01-30,2015-02-20,48,2015-02-13,48,"P","2.55","0",1.91,14
"4304",2015-02-02,2015-02-20,49.5,2015-02-17,49.5,"P","3","2.14",2.31,15
"4305",2015-02-02,2015-02-20,49.5,2015-02-17,49.5,"C","2.63","2.39",2.38,15
"4306",2015-02-03,2015-02-20,53,2015-02-17,53,"P","3.35","3.22",2.6,14
"4307",2015-02-03,2015-02-20,53,2015-02-17,53,"C","1.88","1.8",2.65,14
"4308",2015-02-03,2015-02-20,53,2015-02-06,53,"C","1.5","0",1.64,3
"4309",2015-02-04,2015-02-20,48.5,2015-02-17,48.5,"P","2.34","2.18",2.39,13
"4310",2015-02-04,2015-02-20,48.5,2015-02-17,48.5,"C","2.52","2.34",2.34,13
"4311",2015-02-05,2015-02-20,50.5,2015-02-17,50.5,"P","2.28","2.15",2.39,12
"4312",2015-02-05,2015-02-20,50.5,2015-02-17,50.5,"C","2.69","2.56",2.37,12
"4313",2015-02-06,2015-02-20,51.5,2015-02-17,51.5,"P","1.73","1.64",2.03,11
"4314",2015-02-06,2015-02-20,51.5,2015-02-17,51.5,"C","2.56","2.45",2.22,11
"4315",2015-02-09,2015-02-20,53,2015-02-17,53,"P","2","1.87",1.74,8
"4316",2015-02-09,2015-02-20,53,2015-02-17,53,"C","1.46","1.32",1.6,8
"4317",2015-02-10,2015-02-20,50,2015-02-17,50,"P","1.23","1.13",1.63,7
"4318",2015-02-10,2015-02-20,50,2015-02-17,50,"C","4.8","1.62",1.65,7
"4319",2015-02-11,2015-02-20,49,2015-02-17,49,"P","1.43","1.2",1.51,6
"4320",2015-02-11,2015-02-20,49,2015-02-17,49,"C","2","0.7",1.35,6
"4321",2015-02-12,2015-02-20,51,2015-02-17,51,"P","1.11","1.02",1.07,5
"4322",2015-02-12,2015-02-20,51,2015-02-17,51,"C","1.43","1.31",1.28,5
"4323",2015-02-13,2015-02-20,53,2015-02-17,53,"P","1.56","0.69",1,4
"4324",2015-02-13,2015-02-20,53,2015-02-17,53,"C","0.98","0.6",0.78,4
"4325",2015-02-13,2015-02-20,53,2015-02-13,53,"C","0.1","0",0,0
"4326",2015-02-17,2015-03-20,54.5,2015-02-20,54.5,"P","1.71","0",1.75,3
"4327",2015-02-17,2015-02-20,53.5,2015-02-17,53.5,"P","0.15","0.1",0,0
"4328",2015-02-17,2015-02-20,53.5,2015-02-17,53.5,"C","0.3","0.01",0.03,0
"4329",2015-02-18,2015-03-20,53,2015-02-20,53,"C","0.7","0",0.89,2
"4330",2015-02-19,2015-03-20,52,2015-02-27,52,"C","2.36","0",1.69,8
"4331",2015-02-19,2015-03-20,52,2015-02-20,52,"P","0.84","0",0.81,1
"4332",2015-02-27,2015-03-20,50,2015-03-06,50,"P","1.94","0",1.83,7
"4333",2015-03-02,2015-03-20,49.5,2015-03-17,49.5,"P","2.09","1.87",2.1,15
"4334",2015-03-02,2015-03-20,49.5,2015-03-17,49.5,"C","2.45","2.17",2.19,15
"4335",2015-03-02,2015-03-20,49.5,2015-03-06,49.5,"C","1.49","0",1.25,4
"4336",2015-03-03,2015-03-20,50.5,2015-03-17,50.5,"P","1.91","1.83",1.97,14
"4337",2015-03-03,2015-03-20,50.5,2015-03-17,50.5,"C","2.1","1.98",1.99,14
"4338",2015-03-04,2015-03-20,51.5,2015-03-17,51.5,"P","1.71","1.64",1.77,13
"4339",2015-03-04,2015-03-20,51.5,2015-03-17,51.5,"C","1.83","1.77",1.8,13
"4340",2015-03-04,2015-03-20,51.5,2015-03-06,51.5,"P","0.84","0",0.94,2
"4341",2015-03-05,2015-03-20,51,2015-03-17,51,"P","1.64","1.53",1.7,12
"4342",2015-03-05,2015-03-20,51,2015-03-17,51,"C","1.61","1.49",1.46,12
"4343",2015-03-05,2015-03-20,51,2015-03-13,51,"P","2.01","0",1.52,8
"4344",2015-03-05,2015-03-20,51,2015-03-13,51,"C","1.51","0",1.28,8
"4345",2015-03-05,2015-03-20,51,2015-03-06,51,"P","0.74","0",0.71,1
"4346",2015-03-05,2015-03-20,51,2015-03-06,51,"C","1","0.01",0.47,1
"4347",2015-03-06,2015-03-20,49.5,2015-03-17,49.5,"P","2","0",1.43,11
"4348",2015-03-06,2015-03-20,49.5,2015-03-06,49.5,"P","0.04","0",0,0
"4349",2015-03-09,2015-03-20,50,2015-03-17,50,"P","1.33","1.3",1.36,8
"4350",2015-03-09,2015-03-20,50,2015-03-17,50,"C","1.4","1.3",1.36,8
"4351",2015-03-10,2015-03-20,48.5,2015-03-17,48.5,"P","1.31","1.13",1.46,7
"4352",2015-03-10,2015-03-20,48.5,2015-03-17,48.5,"C","1.63","1.26",1.25,7
"4353",2015-03-11,2015-03-20,48,2015-03-17,48,"P","2","0.5",1.06,6
"4354",2015-03-11,2015-03-20,48,2015-03-17,48,"C","2.26","0.05",1.23,6
"4355",2015-03-12,2015-03-20,47,2015-03-17,47,"P","1.25","0.71",1.03,5
"4356",2015-03-12,2015-03-20,47,2015-03-17,47,"C","1.2","1",1.08,5
"4357",2015-03-13,2015-03-20,45,2015-03-17,45,"P","1","0.8",0.95,4
"4358",2015-03-13,2015-03-20,45,2015-03-17,45,"C","0.98","0.74",0.79,4
"4359",2015-03-16,2015-03-20,44,2015-03-17,44,"P","0.72","0.59",0.61,1
"4360",2015-03-16,2015-03-20,44,2015-03-17,44,"C","0.5","0.44",0.49,1
"4361",2015-03-17,2015-03-20,43.5,2015-03-17,43.5,"C","0.1","0.06",0,0
"4362",2015-03-17,2015-04-21,45,2015-03-20,45,"C","1.1","0.1",1.16,3
"4363",2015-03-20,2015-04-21,46.5,2015-03-20,46.5,"P","0.33","0",0,0
"4364",2015-03-25,2015-04-21,49,2015-03-27,49,"P","1","0",0.87,2
"4365",2015-03-25,2015-04-21,49,2015-03-27,49,"C","1.03","0",0.87,2
"4366",2015-03-27,2015-04-21,49,2015-04-02,49,"C","1.5","0",1.14,6
"4367",2015-04-01,2015-04-21,50,2015-04-16,50,"P","2.2","2.08",1.92,15
"4368",2015-04-01,2015-04-21,50,2015-04-16,50,"C","1.82","1.72",2.01,15
"4369",2015-04-01,2015-04-21,50,2015-04-02,50,"C","0.5","0.02",0.55,1
"4370",2015-04-02,2015-04-21,49,2015-04-16,49,"P","1.6","1.41",1.83,14
"4371",2015-04-02,2015-04-21,49,2015-04-16,49,"C","2.24","1.82",1.97,14
"4372",2015-04-06,2015-04-21,52,2015-04-16,52,"P","1.72","1.69",1.62,10
"4373",2015-04-06,2015-04-21,52,2015-04-16,52,"C","1.7","1.64",1.76,10
"4374",2015-04-07,2015-04-21,54,2015-04-16,54,"P","1.97","1.87",1.56,9
"4375",2015-04-07,2015-04-21,54,2015-04-16,54,"C","1.2","1.12",1.54,9
"4376",2015-04-08,2015-04-21,50.5,2015-04-16,50.5,"P","1.23","1.19",1.48,8
"4377",2015-04-08,2015-04-21,50.5,2015-04-16,50.5,"C","1.73","1.65",1.4,8
"4378",2015-04-09,2015-04-21,51,2015-04-16,51,"P","1.39","1.26",1.4,7
"4379",2015-04-09,2015-04-21,51,2015-04-16,51,"C","1.14","1.04",1.19,7
"4380",2015-04-10,2015-04-21,51.5,2015-04-16,51.5,"P","0.98","0.89",1,6
"4381",2015-04-10,2015-04-21,51.5,2015-04-16,51.5,"C","1.33","1.04",1.14,6
"4382",2015-04-13,2015-04-21,52,2015-04-16,52,"P","0.95","0.87",0.97,3
"4383",2015-04-13,2015-04-21,52,2015-04-16,52,"C","0.93","0.88",0.88,3
"4384",2015-04-14,2015-04-21,53.5,2015-04-16,53.5,"P","0.8","0.72",0.83,2
"4385",2015-04-14,2015-04-21,53.5,2015-04-16,53.5,"C","0.74","0.65",0.62,2
"4386",2015-04-15,2015-04-21,56.5,2015-04-16,56.5,"P","0.94","0.79",0.71,1
"4387",2015-04-15,2015-04-21,56.5,2015-04-16,56.5,"C","0.38","0.31",0.6,1
"4388",2015-04-16,2015-05-19,58,2015-04-17,58,"P","0.84","0",1.06,1
"4389",2015-04-16,2015-04-21,56.5,2015-04-16,56.5,"P","0.09","0.03",0,0
"4390",2015-04-20,2015-05-19,58,2015-05-01,58,"P","1.95","1.29",1.65,11
"4391",2015-04-20,2015-05-19,58,2015-05-01,58,"C","1.88","1.23",1.53,11
"4392",2015-04-20,2015-05-19,58,2015-04-24,58,"P","1.3","0.84",1.09,4
"4393",2015-04-20,2015-05-19,58,2015-04-24,58,"C","1.22","0.77",0.97,4
"4394",2015-04-22,2015-05-19,56,2015-04-24,56,"P","1.26","0",0.65,2
"4395",2015-04-23,2015-05-19,57.5,2015-04-24,57.5,"P","0.67","0",0.42,1
"4396",2015-04-23,2015-05-19,57.5,2015-04-24,57.5,"C","0.8","0.11",0.66,1
"4397",2015-04-24,2015-05-19,57,2015-05-01,57,"P","1.04","0",0.96,7
"4398",2015-04-27,2015-05-19,57,2015-05-08,57,"P","2.98","0",1.41,11
"4399",2015-04-27,2015-05-19,57,2015-05-01,57,"P","2.95","0",0.96,4
"4400",2015-04-28,2015-05-19,57,2015-05-08,57,"P","2.98","0",1.37,10
"4401",2015-04-28,2015-05-19,57,2015-05-01,57,"P","1.8","0.42",0.83,3
"4402",2015-04-29,2015-05-19,58.5,2015-05-14,58.5,"P","1.66","1.53",1.62,15
"4403",2015-04-29,2015-05-19,58.5,2015-05-14,58.5,"C","1.77","1.63",1.7,15
"4404",2015-04-30,2015-05-19,59.5,2015-05-14,59.5,"P","1.5","1.44",1.53,14
"4405",2015-04-30,2015-05-19,59.5,2015-05-14,59.5,"C","1.78","1.71",1.66,14
"4406",2015-05-01,2015-05-19,59,2015-05-14,59,"P","1.49","1.17",1.38,13
"4407",2015-05-01,2015-05-19,59,2015-05-14,59,"C","1.68","1.5",1.53,13
"4408",2015-05-04,2015-05-19,59,2015-05-14,59,"P","1.34","1.23",1.37,10
"4409",2015-05-04,2015-05-19,59,2015-05-14,59,"C","1.34","1.25",1.3,10
"4410",2015-05-04,2015-05-19,59,2015-05-08,59,"P","2","0",0.94,4
"4411",2015-05-05,2015-05-19,60.5,2015-05-14,60.5,"P","1.31","1.19",1.38,9
"4412",2015-05-05,2015-05-19,60.5,2015-05-14,60.5,"C","1.47","1.35",1.28,9
"4413",2015-05-06,2015-05-19,61,2015-05-14,61,"P","1.48","1.41",1.3,8
"4414",2015-05-06,2015-05-19,61,2015-05-14,61,"C","1.16","1.09",1.23,8
"4415",2015-05-07,2015-05-19,59,2015-05-14,59,"P","1.25","1.2",1.25,7
"4416",2015-05-07,2015-05-19,59,2015-05-14,59,"C","1.23","1.16",1.19,7
"4417",2015-05-07,2015-05-19,59,2015-05-08,59,"P","1","0.01",0.56,1
"4418",2015-05-08,2015-05-19,59.5,2015-05-14,59.5,"P","1.29","0.51",1.09,6
"4419",2015-05-08,2015-05-19,59.5,2015-05-14,59.5,"C","1.49","0.5",0.98,6
"4420",2015-05-11,2015-05-19,59,2015-05-14,59,"P","0.71","0.63",0.73,3
"4421",2015-05-11,2015-05-19,59,2015-05-14,59,"C","1.04","0.97",0.98,3
"4422",2015-05-12,2015-05-19,61,2015-05-14,61,"P","0.69","0.62",0.82,2
"4423",2015-05-12,2015-05-19,61,2015-05-14,61,"C","0.88","0.78",0.57,2
"4424",2015-05-13,2015-05-19,60.5,2015-05-14,60.5,"P","0.79","0.66",0.49,1
"4425",2015-05-13,2015-05-19,60.5,2015-05-14,60.5,"C","0.32","0.24",0.49,1
"4426",2015-05-14,2015-05-19,60,2015-05-14,60,"P","0.26","0.11",0.12,0
"4427",2015-05-14,2015-05-19,60,2015-05-14,60,"C","0.25","0.07",0,0
"4428",2015-05-15,2015-06-22,60.5,2015-05-15,60.5,"P","0.1","0",0,0
"4429",2015-05-15,2015-06-22,60.5,2015-05-15,60.5,"C","0.15","0",0.04,0
"4430",2015-05-18,2015-06-22,60,2015-05-22,60,"P","0.71","0.61",0.77,4
"4431",2015-05-18,2015-06-22,60,2015-05-22,60,"C","1.51","0",1.01,4
"4432",2015-05-19,2015-06-22,58,2015-05-22,58,"P","0.84","0.5",0.81,3
"4433",2015-05-19,2015-06-22,58,2015-05-22,58,"C","1.11","0.67",0.88,3
"4434",2015-05-20,2015-06-22,59,2015-05-22,59,"P","0.87","0",0.59,2
"4435",2015-05-20,2015-06-22,59,2015-05-22,59,"C","0.58","0.02",0.57,2
"4436",2015-05-21,2015-06-22,60.5,2015-05-22,60.5,"P","0.87","0",0.27,1
"4437",2015-05-26,2015-06-22,58,2015-05-29,58,"P","1.35","0.01",0.7,3
"4438",2015-05-27,2015-06-22,57.5,2015-05-29,57.5,"P","0.9","0",0.65,2
"4439",2015-05-28,2015-06-22,57.5,2015-05-29,57.5,"P","0.25","0",0.4,1
"4440",2015-06-01,2015-06-22,60,2015-06-12,60,"P","2.81","0",1.37,11
"4441",2015-06-01,2015-06-22,60,2015-06-05,60,"P","2.51","0",0.91,4
"4442",2015-06-02,2015-06-22,61.5,2015-06-17,61.5,"P","1.94","1.86",1.79,15
"4443",2015-06-02,2015-06-22,61.5,2015-06-17,61.5,"C","1.46","1.39",1.55,15
"4444",2015-06-03,2015-06-22,59.5,2015-06-17,59.5,"P","1.65","1.59",1.61,14
"4445",2015-06-03,2015-06-22,59.5,2015-06-17,59.5,"C","1.76","1.7",1.75,14
"4446",2015-06-04,2015-06-22,58,2015-06-17,58,"P","1.7","1.63",1.6,13
"4447",2015-06-04,2015-06-22,58,2015-06-17,58,"C","1.68","1.62",1.6,13
"4448",2015-06-04,2015-06-22,58,2015-06-05,58,"C","0.77","0.24",0.75,1
"4449",2015-06-05,2015-06-22,59,2015-06-17,59,"C","1.48","0.91",1.36,12
"4450",2015-06-05,2015-06-22,59,2015-06-12,59,"C","2.01","0",1.08,7
"4451",2015-06-08,2015-06-22,58,2015-06-17,58,"P","1.1","1.01",1.12,9
"4452",2015-06-08,2015-06-22,58,2015-06-17,58,"C","1.36","1.27",1.26,9
